session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,First Language,Student Status,Fluent languages,Current Country of Residence,Sex,Country of Birth,Employment Status,Nationality
5bcaa54ce642db0001d3cc20,5bb6e5220a24ad00013dfbd5,AWAITING REVIEW,2018-10-20 03:47:29.507000,2018-10-20 04:18:46.690000,1877.183,26,24,0,100,,ZQSEZJGY,English,No,English,United States,Female,United States,,United States
5bcaa5590f10750001d76cf2,5abc11e6e1099600016a3097,AWAITING REVIEW,2018-10-20 03:48:47.435000,2018-10-20 04:22:04.438000,1997.003,23,144,1,100,,ZQSEZJGY,English,No,English,United Kingdom,Male,United Kingdom,Part-Time,United Kingdom
5bcaa55908a62c0001f83532,5bac4ecc7fd2120001e5ffee,AWAITING REVIEW,2018-10-20 03:47:46.396000,2018-10-20 04:44:51.039000,3424.643,32,19,0,100,,ZQSEZJGY,English,Yes,English,United States,Female,United States,Other,United States
5bcaa55a77740000016a2f71,5a8bce59aa46dd00016bd5f4,AWAITING REVIEW,2018-10-20 03:47:41.137000,2018-10-20 04:17:27.284000,1786.147,23,189,1,100,,ZQSEZJGY,English,No,English,United States,Male,United States,Part-Time,United States
5bcaa5620981340001fc2782,5ae76daca740ff0001937dad,AWAITING REVIEW,2018-10-20 03:48:02.868000,2018-10-20 04:20:09.791000,1926.923,28,150,0,100,,ZQSEZJGY,English,No,English,United Kingdom,Male,United Kingdom,Full-Time,United Kingdom
5bcaa56277740000016a2f73,5b98a24fb38cca0001437082,AWAITING REVIEW,2018-10-20 03:47:51.381000,2018-10-20 04:12:52.253000,1500.872,38,41,0,100,,ZQSEZJGY,English,No,English,United States,Male,United States,Full-Time,United States
5bcaa567e642db0001d3cc2a,5849061d0c097700012a1ed4,AWAITING REVIEW,2018-10-20 03:48:02.030000,2018-10-20 04:15:49.987000,1667.957,51,491,5,99,,ZQSEZJGY,English,No,English,United States,Male,United States,Full-Time,United States
5bcaa56932e46700016edf75,58092f7347d0b6000116625c,AWAITING REVIEW,2018-10-20 03:48:04.700000,2018-10-20 04:20:01.664000,1916.964,61,42,0,100,,ZQSEZJGY,English,No,English,United States,Female,United States,Part-Time,United States
5bcaa56e32e46700016edf76,5a13e58baac54e00011ac832,AWAITING REVIEW,2018-10-20 03:54:36.780000,2018-10-20 04:36:12.751000,2495.971,34,221,0,100,,ZQSEZJGY,English,Yes,English,United States,Female,United States,Part-Time,United States
5bcaa5704f22df00010ed0e8,59acabcd8a929800014ad8db,AWAITING REVIEW,2018-10-20 03:48:04.093000,2018-10-20 04:21:51.016000,2026.923,46,339,0,100,,ZQSEZJGY,English,No,English,United States,Male,United States,Full-Time,United States
5bcaa5714f22df00010ed0e9,5bb5a21470f8df0001bf868f,AWAITING REVIEW,2018-10-20 03:49:06.702000,2018-10-20 04:21:06.214000,1919.512,,6,0,100,,ZQSEZJGY,English,No,English,Canada,Female,Canada,Full-Time,Canada
5bcaa5730f10750001d76cf5,5b2476b65b5c0900018a731f,AWAITING REVIEW,2018-10-20 03:51:30.461000,2018-10-20 04:23:21.545000,1911.084,19,23,0,100,,ZQSEZJGY,Spanish,Yes,English,Mexico,Female,Mexico,Other,Mexico
5bcaa57f0f10750001d76cf7,5aea97a40ef2f20001858cca,AWAITING REVIEW,2018-10-20 03:49:23.145000,2018-10-20 04:15:53.879000,1590.734,28,37,1,99,,ZQSEZJGY,English,No,English,United States,Male,United States,Full-Time,United States
5bcaa584e642db0001d3cc2d,5a677aa635f26b0001496af2,AWAITING REVIEW,2018-10-20 03:48:35.080000,2018-10-20 04:19:08.847000,1833.767,47,238,0,100,,ZQSEZJGY,English,No,English,United States,Female,United States,Full-Time,United States
5bcaa58532e46700016edf80,5b872a3b22f6ff0001f0d2b1,AWAITING REVIEW,2018-10-20 03:48:54.452000,2018-10-20 04:21:15.363000,1940.911,19,18,0,100,,ZQSEZJGY,English,Yes,English,Canada,Male,Canada,Unemployed (and job seeking),Canada
5bcaa5893d893f0001bf0e0a,5a312e1d715d6a0001118de2,AWAITING REVIEW,2018-10-20 03:48:29.905000,2018-10-20 04:07:40.563000,1150.658,44,91,0,100,,ZQSEZJGY,English,No,English,United States,Female,United States,"Not in paid work (e.g. homemaker, retired or disabled)",United States
5bcaa58a0f10750001d76cfa,5b4f76276d90520001127200,AWAITING REVIEW,2018-10-20 03:48:30.391000,2018-10-20 04:22:48.636000,2058.245,53,33,0,100,,ZQSEZJGY,Italian,No,French,Italy,Female,Italy,Full-Time,Italy
5bcaa58e0f10750001d76cfb,5b6743c46044cb0001b99c8e,AWAITING REVIEW,2018-10-20 03:48:41.143000,2018-10-20 04:15:44.181000,1623.038,26,56,0,100,,ZQSEZJGY,Spanish,No,English,United States,Male,Puerto Rico,Full-Time,Puerto Rico
5bcaa59508a62c0001f8353a,5af85a3223708c000159b3ce,AWAITING REVIEW,2018-10-20 03:48:46.134000,2018-10-20 04:19:06.325000,1820.191,27,45,0,100,,ZQSEZJGY,English,No,English,Australia,Female,Australia,Full-Time,Australia
5bcaa5954f22df00010ed0f3,56f1d53bf2df32000b8f3748,AWAITING REVIEW,2018-10-20 03:54:06.597000,2018-10-20 04:22:22.954000,1696.357,32,337,1,100,,ZQSEZJGY,English,No,English,United States,Male,United States,Full-Time,United States
